YYYYMMDD,YYYY.DECM,N(m),E(m),U(m),sig_n(mm),sig_e(mm),sig_u(mm)
2011-01-12,2011.0315,5.3,-405.5,-7.7,1.7,1.6,5.5
2011-01-13,2011.0342,6.5,-405.6,-11.5,1.9,1.8,6.2
2011-01-14,2011.037,6.3,-405.1,-16.0,1.7,1.6,5.6
2011-01-15,2011.0397,5.6,-404.5,-14.4,1.7,1.6,5.6
2011-01-16,2011.0425,6.6,-404.1,-13.9,1.7,1.6,5.5
2011-01-17,2011.0452,5.8,-404.5,-11.3,1.8,1.7,5.7
2011-01-18,2011.0479,7.5,-404.4,-14.5,1.8,1.8,5.8
2011-01-19,2011.0507,8.0,-405.3,-11.9,1.9,1.8,5.9
2011-01-20,2011.0534,7.6,-402.9,-12.5,1.6,1.6,5.5
2011-01-21,2011.0562,7.6,-404.2,-12.7,1.7,1.7,5.7
2011-01-22,2011.0589,8.1,-405.1,-15.6,1.8,1.7,5.6
2011-01-23,2011.0616,6.8,-404.4,-11.7,1.8,1.8,5.9
2011-01-24,2011.0644,8.1,-403.9,-10.7,1.8,1.8,5.9
2011-01-25,2011.0671,7.6,-402.9,-12.1,1.7,1.8,5.7
2011-01-26,2011.0699,9.2,-402.5,-15.9,1.8,1.8,5.8
2011-01-27,2011.0726,7.7,-402.6,-14.1,1.8,1.8,5.8
2011-01-28,2011.0753,6.4,-402.2,-12.2,1.7,1.7,5.7
2011-01-29,2011.0781,6.7,-402.6,-11.0,1.8,1.7,5.8
2011-01-30,2011.0808,7.0,-401.8,-6.4,1.6,1.6,5.5
2011-01-31,2011.0836,6.8,-402.8,-5.16,1.8,1.8,5.72
2011-02-01,2011.0863,7.0,-401.6,-3.92,1.6,1.6,5.94
2011-02-02,2011.089,7.4,-401.2,-2.68,1.9,1.9,6.16
2011-02-03,2011.0918,7.2,-401.9,-1.44,1.9,1.9,6.38
2011-02-04,2011.0945,6.0,-401.7,-0.2,2.0,1.9,6.6
2011-02-05,2011.0973,7.3,-402.1,0.4,1.8,1.8,5.9
2011-02-06,2011.1,7.0,-400.7,2.8,1.9,1.9,6.1
2011-02-07,2011.1027,7.2,-402.5,5.9,1.8,1.9,6.0
2011-02-08,2011.1055,7.1,-401.5,2.6,1.7,1.7,5.8
2011-02-09,2011.1082,6.8,-401.4,0.7,1.7,1.8,5.8
2011-02-10,2011.111,6.9,-400.9,-6.2,1.8,1.8,5.9
2011-02-11,2011.1137,6.7,-400.0,-7.7,1.7,1.8,5.8
2011-02-12,2011.1164,6.3,-403.4,-3.6,1.8,1.9,6.0
2011-02-13,2011.1192,7.6,-400.6,0.2,1.7,1.8,5.8
2011-02-14,2011.1219,6.6,-402.7,-0.9,1.8,2.0,6.1
2011-02-15,2011.1247,7.1,-401.1,-2.4,1.8,1.7,5.8
